Trade #,Ticker,Entry Date,Entry Price,TIGERs Score,Stop Dist %,Tightness (ATR Ratio),Ignition (Advance %),RS Dist from High,Market Regime,Sales Growth %,EPS Growth %,Execution Type,Position Size % (Static),Hard Stop Price,Exit Date,Exit Price,Exit Reason,PnL %,Holding Days,Actual $ Invested,Actual $ Exit,Dollar PnL,Portfolio Equity,Position Size %,R-Multiple
43,FLS,2023-02-13 00:00:00-05:00,34.8728,3.0,0.0411,1.14,51.8%,0.0,Trend Aligned,3.5%,-137.4%,Gap Cap (T+1 Open),24.32,33.4388,2023-02-14 00:00:00-05:00,33.4388,Hard Stop (ATR/8%),-4.11,1,24177.03,23183.35,-993.68,98373.92,24.3%,-1.0
44,CDNS,2023-02-15 00:00:00-05:00,199.1,3.0,0.0372,1.023,47.5%,0.0,Trend Aligned,6.2%,14.1%,Gap Cap (T+1 Open),25.0,191.6836,2023-02-17 00:00:00-05:00,191.6836,Hard Stop (ATR/8%),-3.72,2,24593.48,23678.6,-914.88,97459.04,25.0%,-1.0
45,KBR,2023-02-17 00:00:00-05:00,53.8864,3.0,0.0356,1.065,29.7%,0.015,Trend Aligned,-11.2%,45.5%,Gap Cap (T+1 Open),25.0,51.9671,2023-03-10 00:00:00-05:00,51.9671,Hard Stop (ATR/8%),-3.56,21,24364.76,23497.37,-867.39,96591.65,25.0%,-1.0
46,USFD,2023-02-21 00:00:00-05:00,39.02,3.0,0.0392,1.241,50.0%,0.0,Trend Aligned,3.3%,178.8%,Gap Cap (T+1 Open),25.0,37.4889,2023-02-24 00:00:00-05:00,37.4889,Hard Stop (ATR/8%),-3.92,3,24147.91,23201.31,-946.6,95645.05,25.0%,-1.0
47,HCA,2023-04-12 00:00:00-04:00,265.931,4.0,0.0239,0.752,64.8%,0.004,Trend Aligned,6.7%,30.6%,Gap Cap (T+1 Open),25.0,259.5634,2023-05-23 00:00:00-04:00,268.4453,21-EMA Trailing Stop (High Vol),0.95,41,23911.26,24138.42,227.16,95872.21,25.0%,0.4
48,MRSH,2023-04-21 00:00:00-04:00,172.4539,4.0,0.0214,0.847,26.3%,0.007,Trend Aligned,8.7%,4.2%,Gap Cap (T+1 Open),25.0,168.7583,2023-04-26 00:00:00-04:00,168.7583,Hard Stop (ATR/8%),-2.14,5,23968.05,23455.14,-512.92,95359.29,25.0%,-1.0
49,CELH,2023-05-11 00:00:00-04:00,43.3167,3.0,0.06,1.374,210.6%,0.0,Trend Aligned,117.2%,-138.8%,Gap Cap (T+1 Open),6.67,40.7177,2023-06-05 00:00:00-04:00,47.6483,Scale-Out (+10%),10.0,25,15893.22,17482.54,1589.32,96948.62,16.7%,1.67
50,CELH,2023-05-11 00:00:00-04:00,43.3167,3.0,0.06,1.374,210.6%,0.0,Trend Aligned,117.2%,-138.8%,Gap Cap (T+1 Open),10.0,43.3167,2023-07-18 00:00:00-04:00,50.6367,21-EMA Trailing Stop (High Vol),16.9,68,16158.1,18888.82,2730.72,99679.34,16.7%,2.82
51,ON,2023-05-18 00:00:00-04:00,86.0,3.0,0.0559,1.011,82.8%,0.024,Trend Aligned,-11.2%,-52.1%,Gap Cap (T+1 Open),17.88,81.1914,2023-05-24 00:00:00-04:00,81.1914,Hard Stop (ATR/8%),-5.59,6,17831.72,16834.93,-996.79,98682.54,17.9%,-1.0
52,SNPS,2023-05-19 00:00:00-04:00,413.03,4.0,0.0293,0.988,50.3%,0.0,Trend Aligned,65.5%,-78.0%,Gap Cap (T+1 Open),25.0,400.9111,2023-05-22 00:00:00-04:00,400.9111,Hard Stop (ATR/8%),-2.93,3,24670.64,23947.79,-722.85,97959.69,25.0%,-1.0
53,PNR,2023-06-08 00:00:00-04:00,58.5641,3.0,0.0342,0.974,57.2%,0.013,Trend Aligned,4.9%,-0.2%,Gap Cap (T+1 Open),10.0,56.5622,2023-07-12 00:00:00-04:00,64.4205,Scale-Out (+10%),10.0,34,24489.92,26938.92,2448.99,100408.69,25.0%,2.92
54,PNR,2023-06-08 00:00:00-04:00,58.5641,3.0,0.0342,0.974,57.2%,0.013,Trend Aligned,4.9%,-0.2%,Gap Cap (T+1 Open),15.0,58.5641,2023-09-13 00:00:00-04:00,65.5299,21-EMA Trailing Stop (High Vol),11.89,97,25102.17,28086.82,2984.65,103393.33,25.0%,3.48
55,BA,2023-06-09 00:00:00-04:00,217.99,3.0,0.0382,0.984,88.3%,0.077,Trend Aligned,57.1%,-300.7%,Gap Cap (T+1 Open),25.0,209.6586,2023-06-20 00:00:00-04:00,218.89,21-EMA Trailing Stop (High Vol),0.41,11,25848.33,25954.31,105.98,103499.31,25.0%,0.11
56,CSGP,2023-06-16 00:00:00-04:00,84.59,3.0,0.0301,1.144,52.4%,0.125,Trend Aligned,26.9%,-22.2%,Gap Cap (T+1 Open),25.0,82.0454,2023-07-26 00:00:00-04:00,82.0454,Hard Stop (ATR/8%),-3.01,40,25874.83,25096.0,-778.83,102720.48,25.0%,-1.0
57,JCI,2023-07-13 00:00:00-04:00,65.8307,3.0,0.0246,0.883,52.2%,0.105,Trend Aligned,6.8%,25.1%,Gap Cap (T+1 Open),25.0,64.2142,2023-08-02 00:00:00-04:00,64.2142,Hard Stop (ATR/8%),-2.46,20,25680.12,25048.39,-631.73,102088.75,25.0%,-1.0
58,ALGM,2023-07-14 00:00:00-04:00,51.44,3.0,0.0491,1.075,161.8%,0.052,Trend Aligned,28.9%,-221.0%,Gap Cap (T+1 Open),20.36,48.913,2023-07-24 00:00:00-04:00,48.913,Hard Stop (ATR/8%),-4.91,10,20792.01,19771.12,-1020.89,101067.86,20.4%,-1.0
59,KKR,2023-07-14 00:00:00-04:00,60.3356,3.0,0.0377,1.099,43.6%,0.055,Trend Aligned,77.6%,-1.8%,Gap Cap (T+1 Open),25.0,58.0637,2023-07-27 00:00:00-04:00,58.0637,Hard Stop (ATR/8%),-3.77,13,25266.97,24314.4,-952.56,100115.3,25.0%,-1.0
60,PR,2023-07-14 00:00:00-04:00,10.2382,3.0,0.0466,0.862,119.6%,0.141,Trend Aligned,-9.8%,53.0%,Gap Cap (T+1 Open),21.48,9.7614,2023-07-17 00:00:00-04:00,9.7614,Hard Stop (ATR/8%),-4.66,3,21483.97,20482.82,-1001.15,99114.14,21.5%,-1.0
61,CNO,2023-08-01 00:00:00-04:00,23.7473,3.0,0.025,0.67,48.2%,0.138,Trend Aligned,4.2%,-44.1%,Gap Cap (T+1 Open),25.0,23.1544,2023-08-02 00:00:00-04:00,23.1544,Hard Stop (ATR/8%),-2.5,1,24778.54,24159.07,-619.46,98494.68,25.0%,-1.0
62,OKE,2023-09-15 00:00:00-04:00,59.8198,3.0,0.026,1.023,43.7%,0.12,Trend Aligned,29.5%,5.9%,Gap Cap (T+1 Open),25.0,58.2656,2023-09-21 00:00:00-04:00,58.2656,Hard Stop (ATR/8%),-2.6,6,24623.67,23983.45,-640.22,97854.46,25.0%,-1.0
63,CAH,2023-11-06 00:00:00-05:00,95.9833,3.0,0.0309,1.298,47.8%,0.0,Trend Aligned,18.8%,16.8%,Gap Cap (T+1 Open),25.0,93.016,2023-12-14 00:00:00-05:00,100.3243,21-EMA Trailing Stop (High Vol),4.52,38,24463.62,25569.37,1105.76,98960.22,25.0%,1.46
64,DASH,2023-11-06 00:00:00-05:00,92.49,3.0,0.06,1.309,97.4%,0.0,Trend Aligned,37.7%,51.1%,Gap Cap (T+1 Open),16.67,86.9406,2023-11-08 00:00:00-05:00,86.9406,Hard Stop (ATR/8%),-6.0,2,16493.37,15503.77,-989.6,97970.62,16.7%,-1.0
65,MU,2023-11-10 00:00:00-05:00,73.7824,3.0,0.0441,1.113,51.0%,0.04,Trend Aligned,56.7%,180.2%,Gap Cap (T+1 Open),9.07,70.5275,2023-12-14 00:00:00-05:00,81.1607,Scale-Out (+10%),10.0,34,22215.56,24437.12,2221.56,100192.17,22.7%,2.27
66,MU,2023-11-10 00:00:00-05:00,73.7824,3.0,0.0441,1.113,51.0%,0.04,Trend Aligned,56.7%,180.2%,Gap Cap (T+1 Open),13.6,73.7824,2024-02-07 00:00:00-05:00,83.5084,21-EMA Trailing Stop (High Vol),13.18,89,22719.31,25713.72,2994.41,103186.58,22.7%,2.99
67,CPRT,2023-11-13 00:00:00-05:00,48.46,3.0,0.0314,1.043,62.5%,0.0,Trend Aligned,-3.6%,-9.5%,Gap Cap (T+1 Open),25.0,46.9407,2023-12-06 00:00:00-05:00,48.97,21-EMA Trailing Stop (High Vol),1.05,23,25796.64,26067.51,270.86,103457.44,25.0%,0.33
68,CRH,2023-11-15 00:00:00-05:00,58.0763,3.0,0.0358,1.035,58.2%,0.014,Trend Aligned,6.2%,39.4%,Gap Cap (T+1 Open),10.0,55.9981,2023-12-13 00:00:00-05:00,63.884,Scale-Out (+10%),10.0,28,25864.36,28450.8,2586.44,106043.88,25.0%,2.79
69,CRH,2023-11-15 00:00:00-05:00,58.0763,3.0,0.0358,1.035,58.2%,0.014,Trend Aligned,6.2%,39.4%,Gap Cap (T+1 Open),15.0,58.0763,2024-01-04 00:00:00-05:00,64.6014,21-EMA Trailing Stop (High Vol),11.24,50,26510.97,29490.8,2979.83,109023.71,25.0%,3.14
70,HWM,2023-11-15 00:00:00-05:00,51.2969,3.0,0.034,1.292,41.8%,0.0,Trend Aligned,14.6%,18.5%,Gap Cap (T+1 Open),25.0,49.5521,2024-01-03 00:00:00-05:00,53.2546,21-EMA Trailing Stop (High Vol),3.82,49,27255.93,28297.1,1041.18,110064.89,25.0%,1.12
71,GAP,2023-11-20 00:00:00-05:00,16.8216,3.0,0.06,1.413,148.1%,0.0,Trend Aligned,3.0%,-13.9%,Gap Cap (T+1 Open),6.67,15.8123,2023-11-29 00:00:00-05:00,18.5037,Scale-Out (+10%),10.0,9,18344.15,20178.56,1834.41,111899.3,16.7%,1.67
72,GAP,2023-11-20 00:00:00-05:00,16.8216,3.0,0.06,1.413,148.1%,0.0,Trend Aligned,3.0%,-13.9%,Gap Cap (T+1 Open),10.0,16.8216,2024-01-03 00:00:00-05:00,19.3703,21-EMA Trailing Stop (High Vol),15.15,44,18649.88,21475.34,2825.46,114724.76,16.7%,2.52
73,NTAP,2023-11-30 00:00:00-05:00,85.4526,3.0,0.0351,1.392,58.5%,0.0,Trend Aligned,4.4%,11.7%,Gap Cap (T+1 Open),25.0,82.4548,2024-01-02 00:00:00-05:00,82.4548,Hard Stop (ATR/8%),-3.51,33,28681.19,27674.48,-1006.71,113718.05,25.0%,-1.0
